Chapters	Agency	Population	Hospital	H_Lat	H_Lon	P_school	M_School	H_School	College	NHA	Units	Lat	Lon
Alamo	Eastern	2006	0	0	0	0	0	0	0	1	69	342439N	1073120W
Beca	Eastern	789	0	0	0	0	0	0	0	0	0	352218N	1075924W
Becenti	Eastern	403	0	0	0	0	0	0	0	1	140	355247N	1080919W
BREAD SPRINGS	Eastern	908	0	0	0	0	0	0	0	1	1	352200N	1084136W
Canoncito	Eastern	1591	1	350407N	1073415W	0	0	0	0	1	131	350700N	1070519W
CASAMERO_LAKE	Eastern	518	0	0	0	0	0	0	0	1	50	353231N	1080007W
Chichiltah	Eastern	1443	0	0	0	0	0	0	0	1	45	351557N	1085207W
Chruch_Rock	Eastern	2868	0	0	0	0	0	0	0	1	80	353430N	1083646W
Counselor	Eastern	870	0	0	0	0	0	0	0	1	0	360513N	1072955W
Crownpoint	Eastern	2729	1	354155N	1080822W	1	2	1	2	1	524	354041N	1080904W
Heurfano	Eastern	2633	0	0	0	0	0	0	0	1	277	362645N	1080621W
IYANBITO	Eastern	890	0	0	0	0	0	0	0	1	54	353203N	1082725W
Lake_Valley	Eastern	306	0	0	0	0	0	0	0	1	39	360548N	1080847W
Littlewater	Eastern	427	0	0	0	0	0	0	0	1	32	353840N	1075958W
Manuelito	Eastern	264	0	0	0	0	0	0	0	0	0	352203N	1090038W
Mariano_lake	Eastern	823	0	0	0	0	0	0	0	1	105	353530N	1081625W
Nageezi	Eastern	1095	0	0	0	0	0	0	0	1	66	361025N	1074552W
Nahodishgish	Eastern	408	0	0	0	0	0	0	0	1	65	354309N	1081926W
Ojo_Encino	Eastern	688	0	0	0	0	0	0	0	1	96	355651N	1072004W
Pinedale	Eastern	1109	0	0	0	0	0	0	0	1	11	353647N	1082648W
Pueblo_Pintado	Eastern	419	0	0	0	0	0	0	0	0	0	355559N	1073647W
Ramah	Eastern	1400	1	345325N	1082501W	1	1	0	0	1	250	345952N	1082440W
Red_Rock	Eastern	1866	0	0	0	1	0	0	0	0	0	352534N	1084824W
Rock_Springs	Eastern	1086	0	0	0	0	0	0	0	1	1	353727N	1090245W
Smith_Lake	Eastern	951	0	0	0	0	0	0	0	1	151	353135N	1080918W
Standing_Rock	Eastern	641	0	0	0	0	0	0	0	1	175	354940N	1082143W
Thoreau	Eastern	1433	0	0	0	1	1	1	0	1	30	352743N	1081500W
Torreon	Eastern	1612	0	0	0	0	0	0	0	1	20	354700N	1071656W
Tsayatoh	Eastern	658	0	0	0	0	0	0	0	1	64	353229N	1085703W
White_Horse	Eastern	406	0	0	0	0	0	0	0	0	0	355024N	1074027W
White_Rock	Eastern	76	0	0	0	0	0	0	0	0	0	360541N	1082011W
Cornfields	FT. DEFIANCE	911	0	0	0	0	0	0	0	1	62	353908N	1094045W
Coyote_Canyon	FT. DEFIANCE	685	0	0	0	0	0	0	0	1	122	354659N	1083203W
Crystal	FT. DEFIANCE	670	0	0	0	0	0	0	0	1	87	360347N	1090136W
Dilkon	FT. DEFIANCE	2110	0	0	0	0	0	0	0	1	296	351834N	1102246W
Fort_Defiance	FT. DEFIANCE	5856	1	354533N	1090255W	0	0	0	0	1	347	354548N	1090227W
Ganado	FT. DEFIANCE	2504	0	0	0	1	1	1	1	1	152	354514N	1093435W
Greasewood	FT. DEFIANCE	1320	0	0	0	0	0	0	0	1	123	352516N	1095323W
Houck	FT. DEFIANCE	1436	0	0	0	0	0	0	0	1	90	351807N	1091637W
Indian_Wells	FT. DEFIANCE	989	0	0	0	1	0	0	0	1	192	351931N	1100506W
Jeddito	FT. DEFIANCE	1180	0	0	0	1	0	0	0	1	5	354407N	1100910W
Kinlichee	FT. DEFIANCE	1610	0	0	0	0	0	0	0	1	52	354508N	1091854W
Klageoh	FT. DEFIANCE	909	0	0	0	0	0	0	0	1	51	353058N	1093145W
Low_Mountain	FT. DEFIANCE	784	0	0	0	1	1	0	0	1	30	355622N	1095759W
Lupton	FT. DEFIANCE	902	0	0	0	0	0	0	0	0	0	351637N	1090701W
Mexican_Springs	FT. DEFIANCE	1418	0	0	0	0	0	0	0	1	40	355152N	1085317W
Nahatadzil	FT. DEFIANCE	1731	0	0	0	1	1	1	0	1	26	350436N	1091940W
Naschiti	FT. DEFIANCE	1500	0	0	0	0	0	0	0	1	111	355715N	1092522W
Oak_Springs	FT. DEFIANCE	533	0	0	0	0	0	0	0	1	2	352823N	1091023W
Red_Lake	FT. DEFIANCE	2028	0	0	0	1	1	1	0	1	307	355301N	1090218W
Sawmill	FT. DEFIANCE	1054	0	0	0	0	0	0	0	1	79	360005N	1091020W
St_Micheals	FT. DEFIANCE	5643	0	0	0	2	1	1	1	1	759	353726N	1090743W
Steamboat	FT. DEFIANCE	1226	0	0	0	0	0	0	0	1	57	354612N	1094922W
Teesto	FT. DEFIANCE	930	0	0	0	0	0	0	0	1	34	352747N	1102834W
TOHATCHI	FT. DEFIANCE	1450	1	355129N	1084545W	1	1	1	0	1	71	355501N	1083922W
Twin_Lake	FT. DEFIANCE	2212	0	0	0	1	0	0	0	1	65	354229N	1084822W
White_Cone	FT. DEFIANCE	1284	0	0	0	0	0	0	0	1	3	353243N	1100721W
Wide_Ruins	FT. DEFIANCE	1095	0	0	0	0	0	0	0	1	0	352022N	1093332W
Black_Mesa	CENTRAL	428	0	0	0	0	0	0	0	1	15	361959N	1100147W
Chinle	CENTRAL	8005	1	360928N	1093627W	3	1	1	2	1	358	361008N	1093449W
Forest_Lake	CENTRAL	471	0	0	0	0	0	0	0	1	40	361948N	1101743W
Hard_Rock	CENTRAL	1161	0	0	0	0	0	0	0	1	3	360620N	1102805W
Lukachukai	CENTRAL	2154	0	0	0	1	1	0	0	1	148	362536N	1091421W
Many_Farms	CENTRAL	2738	0	0	0	1	1	1	0	1	176	362106N	1093243W
Nazlini	CENTRAL	1260	0	0	0	0	0	0	0	1	74	355715N	1092522W
Pinon	CENTRAL	2751	1	0	0	2	1	1	0	1	219	360628N	1101308W
Rough_Rock	CENTRAL	947	0	0	0	0	0	0	0	1	45	362406N	1094614W
Round_Rock	CENTRAL	1566	0	0	0	1	1	0	0	1	36	363217N	1092801W
Tachee/Blue_Gap	CENTRAL	1178	0	0	0	0	0	0	0	0	0	360926N	1095936W
Tsaile/Wheatfields	CENTRAL	2250	1	0	0	1	1	0	1	1	2	361422N	1091341W
Tselani	CENTRAL	1425	0	0	0	0	0	0	0	1	138	360156N	1094744W
Whippoorwill	CENTRAL	1489	0	0	0	0	0	0	0	1	53	360054N	1100534W
BIRD_SPRINGS	WESTERN	795	0	0	0	1	0	0	0	1	32	351545N	1104405W
BODAWAY	WESTERN	1704	0	0	0	0	0	0	0	1	50	361724N	1113649W
CAMERON	WESTERN	1122	0	0	0	0	0	0	0	1	35	355116N	1113549W
CHILCHINBETO	WESTERN	1165	0	0	0	0	0	0	0	1	40	363314N	1100204W
COALMINE_MESA	WESTERN	691	0	0	0	0	0	0	0	1	26	355038N	1111116W
COPPERMINE	WESTERN	590	0	0	0	0	0	0	0	0	0	363421N	1112715W
DENNEHOTSO	WESTERN	1462	0	0	0	0	0	0	0	1	21	365031N	1095042W
INSCRIPTION_HOUSE	WESTERN	1252	1	0	0	1	2	0	0	0	0	363757N	1105007W
KAIBETO	WESTERN	1963	0	0	0	0	0	0	0	1	108	363946N	1110244W
KAYENTA	WESTERN	6211	1	0	0	2	1	2	2	1	375	364120N	1101814W
LECHEE	WESTERN	1660	0	0	0	1	0	0	0	1	147	365155N	1112649W
LEUPP	WESTERN	1611	1	0	0	0	0	0	0	1	152	351919N	1110633W
NAVAJO_MOUNTAIN	WESTERN	542	0	0	0	0	0	0	0	1	40	370206N	1104650W
OLJATO	WESTERN	2214	0	0	0	0	0	0	0	1	17	370418N	1101244W
SHONTO	WESTERN	2124	0	0	0	0	0	0	0	1	54	363941N	1103550W
TOLANI_LAKE	WESTERN	647	0	0	0	0	0	0	0	1	60	352934N	1105455W
TONALEA	WESTERN	2595	0	0	0	0	0	1	0	1	3	362407N	1105838W
TUBA_CITY	WESTERN	9265	1	0	0	2	2	1	2	1	654	361518N	1111313W
ANETH	NORTHERN	1989	0	0	0	0	0	0	0	1	54	371749N	1091220W
BECLABITO	NORTHERN	749	0	0	0	0	0	0	0	1	30	365006N	1085541W
BURNHAM	NORTHERN	280	0	0	0	0	0	0	0	0	0	361936N	1082532W
COVE	NORTHERN	430	0	0	0	0	0	0	0	1	44	363224N	1091043W
FRUITLAND	NORTHERN	2751	0	0	0	1	0	0	0	1	258	363551N	1081948W
GADII'AHI	NORTHERN	550	0	0	0	0	0	0	0	1	3	365555N	1084654W
HOGBACK	NORTHERN	1215	0	0	0	0	0	0	0	1	13	364734N	1083540W
MEXICAN_WATER	NORTHERN	933	0	0	0	0	0	0	0	1	23	370047N	1093627W
NENAHNEZAD	NORTHERN	1292	0	0	0	0	0	0	0	0	0	365006N	1085541W
NEWCOMB	NORTHERN	629	1	0	0	1	1	1	0	1	12	361952N	1083828W
RED_MESA	NORTHERN	1222	0	0	0	1	1	1	0	1	43	370852N	1092256W
RED_VALLEY	NORTHERN	1417	0	0	0	0	0	1	0	1	59	363836N	1090245W
ROCK_POINT	NORTHERN	1273	0	0	0	1	1	1	0	0	0	363926N	1093700W
SAN_JUAN	NORTHERN	500	0	0	0	0	0	0	0	0	0	363604N	1082832W
SANOSTEE	NORTHERN	1795	0	0	0	0	0	0	0	1	32	362652N	1085043W
SHEEP_SPRINGS	NORTHERN	801	0	0	0	1	0	0	0	1	57	360959N	1084523W
SHIPROCK	NORTHERN	9126	1	364819N	1084130W	5	2	3	2	1	594	364242N	1084538W
SWEETWATER	NORTHERN	1535	0	0	0	0	0	0	0	1	2	364844N	1092146W
TEEC_NOS_POS	NORTHERN	1301	1	0	0	1	0	0	0	1	43	365738N	1090938W
TWO_GREYHILLS	NORTHERN	500	0	0	0	0	0	0	0	1	84	361558N	1085128W
