FEATURE_ID|FEATURE_NAME|FEATURE_CLASS|STATE_ALPHA|STATE_NUMERIC|COUNTY_NAME|COUNTY_NUMERIC|PRIMARY_LAT_DMS|PRIM_LONG_DMS|PRIM_LAT_DEC|PRIM_LONG_DEC|SOURCE_LAT_DMS|SOURCE_LONG_DMS|SOURCE_LAT_DEC|SOURCE_LONG_DEC|ELEV_IN_M|ELEV_IN_FT|MAP_NAME|DATE_CREATED|DATE_EDITED
2419296|Alamo Chapter|Civil|NM|35|Socorro|053|342439N|1073120W|34.410774|-107.52221|||||1916|6286|Table Mountain|04/11/2008|02/09/2011
2419303|Baca Chapter|Civil|NM|35|McKinley|031|352218N|1075924W|35.371714|-107.990091|||||2109|6919|Bluewater|04/11/2008|02/09/2011
886155|Becenti Chapter House|Locale|NM|35|McKinley|031|354852N|1080954W|35.8144629|-108.1650681|||||2008|6588|Antelope Lookout Mesa|11/13/1980|
2419319|Bread Springs Chapter|Civil|NM|35|McKinley|031|352200N|1084136W|35.366619|-108.693271|||||2185|7169|Pinehaven|04/11/2008|02/09/2011
2419331|Cañoncito Chapter|Civil|NM|35|Bernalillo|001|350700N|1070519W|35.116584|-107.088713|||||1784|5853|Canoncito School|04/11/2008|02/09/2011
2419332|Casamero Lake Chapter|Civil|NM|35|McKinley|031|353231N|1080007W|35.542018|-108.002081|||||2301|7549|Casamero Lake|04/11/2008|02/09/2011
2419338|Chilchinbeto Chapter|Civil|AZ|04|Navajo|017|363314N|1100204W|36.553991|-110.034427|||||1730|5676|Chilchinbito|04/11/2008|02/09/2011
2419343|Church Rock Chapter|Civil|NM|35|McKinley|031|353430N|1083646W|35.57504|-108.612696|||||2062|6765|Church Rock|04/11/2008|02/09/2011
2418884|Counselor Chapter|Civil|NM|35|Sandoval|043|360513N|1072955W|36.086816|-107.498712|||||2081|6827|Mule Dam|04/11/2008|02/09/2011
2418902|Crownpoint Chapter|Civil|NM|35|McKinley|031|354156N|1081022W|35.698883|-108.172749|||||2068|6785|Crownpoint|04/11/2008|02/09/2011
2418970|Huerfano Chapter|Civil|NM|35|San Juan|045|362645N|1080621W|36.445781|-108.105724|||||1887|6191|Carson Trading Post|04/11/2008|02/09/2011
2418977|Iyanbito Chapter|Civil|NM|35|McKinley|031|353203N|1082725W|35.53415|-108.45696|||||2163|7096|Pinedale|04/11/2008|02/09/2011
2418995|Lake Valley Chapter|Civil|NM|35|San Juan|045|360548N|1080847W|36.096611|-108.146443|||||1812|5945|La Vida Mission|04/11/2008|02/09/2011
2419001|Littlewater Chapter|Civil|NM|35|McKinley|031|353840N|1075958W|35.644495|-107.999465|||||2118|6949|Laguna Castillo|04/11/2008|02/09/2011
2419008|Manuelito Chapter|Civil|NM|35|McKinley|031|352203N|1090038W|35.367382|-109.010587|||||1921|6302|Lupton|04/11/2008|02/09/2011
2419010|Mariano Lake Chapter|Civil|NM|35|McKinley|031|353530N|1081625W|35.591544|-108.273497|||||2257|7405|Mariano Lake|04/11/2008|02/09/2011
2419026|Nageezi Chapter|Civil|NM|35|San Juan|045|361025N|1074552W|36.173604|-107.764578|||||2007|6585|Kimbeto|04/11/2008|02/09/2011
2419028|Nahodishgish Chapter|Civil|NM|35|McKinley|031|354309N|1081926W|35.719188|-108.323752|||||2137|7011|Dalton Pass|04/11/2008|02/09/2011
2419039|Ojo Encino Chapter|Civil|NM|35|McKinley|031|355651N|1072004W|35.947511|-107.334399|||||2033|6670|Ojo Encino Mesa|04/11/2008|02/09/2011
2419053|Pinedale Chapter|Civil|NM|35|McKinley|031|353647N|1082648W|35.613044|-108.446698|||||2113|6932|Pinedale|04/11/2008|02/09/2011
2419066|Pueblo Pintado Chapter|Civil|NM|35|McKinley|031|355559N|1073647W|35.93306|-107.613077|||||2054|6739|Pueblo Alto Trading Post|04/11/2008|02/09/2011
2419067|Ramah Chapter|Civil|NM|35|Cibola|006|345047N|1082246W|34.846392|-108.379489|||||2282|7487|Red Lake Mission|04/11/2008|02/09/2011
2419072|Red Rock Chapter|Civil|NM|35|McKinley|031|352534N|1084824W|35.42601|-108.806571|||||2051|6729|Twin Buttes|04/11/2008|02/09/2011
2419078|Rock Springs Chapter|Civil|NM|35|McKinley|031|353727N|1084627W|35.624178|-108.77427|||||2005|6578|Gallup West|04/11/2008|02/09/2011
2419472|Smith Lake Chapter|Civil|NM|35|McKinley|031|353135N|1080918W|35.526273|-108.154942|||||2213|7260|Hosta Butte|04/11/2008|02/09/2011
2419478|Standing Rock Chapter|Civil|NM|35|McKinley|031|354940N|1082143W|35.827679|-108.362046|||||1931|6335|Standing Rock|04/11/2008|02/09/2011
2419491|Thoreau Chapter|Civil|NM|35|McKinley|031|352743N|1081500W|35.461993|-108.250082|||||2548|8359|Continental Divide|04/11/2008|02/09/2011
2419497|Torreon Chapter|Civil|NM|35|Sandoval|043|354700N|1071656W|35.783442|-107.282225|||||1971|6466|Tinian|04/11/2008|02/09/2011
2419500|Tsayatoh Chapter|Civil|NM|35|McKinley|031|353229N|1085703W|35.541327|-108.950713|||||2024|6640|Samson Lake|04/11/2008|02/09/2011
2419521|White Horse Lake Chapter|Civil|NM|35|McKinley|031|355024N|1074027W|35.839909|-107.674283|||||2068|6785|Whitehorse|04/11/2008|02/09/2011
2419522|White Rock Chapter|Civil|NM|35|San Juan|045|360541N|1082011W|36.094698|-108.336431|||||1761|5777|West of La Vida Mission|04/11/2008|02/09/2011
2418883|Cornfields Chapter|Civil|AZ|04|Apache|001|353719N|1094223W|35.622001|-109.706462|||||1886|6188|Sunrise Springs|04/11/2008|02/09/2011
2418899|Coyote Canyon Chapter|Civil|NM|35|McKinley|031|354659N|1083203W|35.783053|-108.534305|||||1885|6184|Coyote Canyon|04/11/2008|02/09/2011
2418903|Crystal Chapter|Civil|NM|35|San Juan|045|360347N|1090136W|36.063009|-109.026786|||||2224|7296|Sonsela Buttes|04/11/2008|02/09/2011
2418906|Dilcon Chapter|Civil|AZ|04|Navajo|017|351834N|1102246W|35.309435|-110.379322|||||1772|5814|Chimney Butte|04/11/2008|02/09/2011
2418938|Fort Defiance Chapter|Civil|NM|35|McKinley|031|354548N|1090227W|35.763321|-109.040843|||||2101|6893|Fort Defiance|04/11/2008|02/09/2011
2418948|Ganado Chapter|Civil|AZ|04|Apache|001|354514N|1093435W|35.753848|-109.576321|||||2000|6562|Ganado Mesa|04/11/2008|02/09/2011
2418953|Greasewood Chapter|Civil|AZ|04|Navajo|017|352516N|1095323W|35.42111|-109.889635|||||1756|5761|Greasewood Spring|04/11/2008|02/09/2011
2418968|Houck Chapter|Civil|AZ|04|Apache|001|351807N|1091637W|35.302015|-109.276921|||||1925|6316|Burntwater Wash|04/11/2008|02/09/2011
2418975|Indian Wells Chapter|Civil|AZ|04|Navajo|017|351931N|1100506W|35.325211|-110.084888|||||1676|5499|Five Buttes|04/11/2008|02/09/2011
2418980|Jeddito Chapter|Civil|AZ|04|Navajo|017|354407N|1100910W|35.735144|-110.152672|||||1877|6158|Jeddito Spring|04/11/2008|02/09/2011
2418988|Kinlichee Chapter|Civil|AZ|04|Apache|001|354508N|1091854W|35.752097|-109.315005|||||2213|7260|Oak Creek Mountain|04/11/2008|02/09/2011
2418989|Klagetoh Chapter|Civil|AZ|04|Apache|001|353058N|1093145W|35.516131|-109.52926|||||1991|6532|Klagetoh North|04/11/2008|02/09/2011
2419004|Low Mountain Chapter|Civil|AZ|04|Apache|001|355622N|1095759W|35.939314|-109.966287|||||1995|6545|Beeshsikad Spring|04/11/2008|02/09/2011
2419006|Lupton Chapter|Civil|AZ|04|Apache|001|351637N|1090701W|35.276914|-109.117056|||||1870|6135|Lupton|04/11/2008|02/09/2011
2419014|Mexican Springs Chapter|Civil|NM|35|McKinley|031|355152N|1085317W|35.864345|-108.88812|||||2237|7339|Crevasse Canyon|04/11/2008|02/09/2011
