Chapter	Agency	Population	Hospital	P_school	M_School	H_School	College	NHA	Units	Lat	Lon
Alamo	Eastern	2006	No	0	0	0	0	Yes	69		
Beca	Eastern	789	No	0	0	0	0	No	0		
Becenti	Eastern	403	No	0	0	0	0	Yes	140		
BREAD SPRINGS 	Eastern	908	No	0	0	0	0	Yes	1		
Canoncito	Eastern	1591	No	0	0	0	0	Yes	131		
CASAMERO_LAKE	Eastern	518	No	0	0	0	0	Yes	50		
Chichiltah 	Eastern	1443	No	0	0	0	0	Yes	45		
Chruch_Rock	Eastern	2868	No	0	0	0	0	Yes	80		
Counselor	Eastern	870	No	0	0	0	0	No	0		
Crownpoint	Eastern	2729	Yes	1	2	1	2	Yes	524		
Heurfano	Eastern	2633	Yes	0	0	0	0	Yes	277		
IYANBITO	Eastern	890	No	0	0	0	0	Yes	54		
Lake_Valley	Eastern	306	No	0	0	0	0	Yes	39		
Littlewater	Eastern	427	No	0	0	0	0	Yes	32		
Manuelito	Eastern	264	No	0	0	0	0	No	0		
Mariano_lake	Eastern	823	No	0	0	0	0	Yes	105		
Nageezi	Eastern	1095	No	0	0	0	0	Yes	66		
Nahodishgish	Eastern	408	No	0	0	0	0	Yes	65		
Ojo_Encino	Eastern	688	No	0	0	0	0	Yes	96		
Pinedale	Eastern	1109	No	0	0	0	0	Yes	11		
Pueblo_Pintado	Eastern	419	No	0	0	0	0	No	0		
Ramah	Eastern	1400	No	1	1	0	0	Yes	250		
Red_Rock	Eastern	1866	No	1	0	0	0	No	0		
Rock_Springs	Eastern	1086	No	0	0	0	0	Yes	1		
Smith_Lake	Eastern	951	No	0	0	0	0	Yes	151		
Standing_Rock	Eastern	641	No	0	0	0	0	Yes	175		
Thoreau	Eastern	1433	No	1	1	1	0	Yes	30		
Torreon	Eastern	1612	No	0	0	0	0	Yes	20		
Tsayatoh	Eastern	658	No	0	0	0	0	Yes	64		
White_Horse	Eastern	406	No	0	0	0	0	No	0		
White_Rock	Eastern	76	No	0	0	0	0	No	0		
Cornfields	FT. DEFIANCE	911	No	0	0	0	0	Yes	62	353908N	1094045W
Coyote_Canyon	FT. DEFIANCE	685	No	0	0	0	0	Yes	122		
Crystal	FT. DEFIANCE	670	No	0	0	0	0	Yes	87		
Dilkon	FT. DEFIANCE	2110	No	0	0	0	0	Yes	296		
Fort_Defiance	FT. DEFIANCE	5856	No	0	0	0	0	Yes	347		
Ganado	FT. DEFIANCE	2504	No	1	1	1	1	Yes	152		
Greasewood	FT. DEFIANCE	1320	No	0	0	0	0	Yes	123		
Houck	FT. DEFIANCE	1436	No	0	0	0	0	Yes	90		
