model,clr,m,t,N,S,area,extinct
0,blueviolet,8,20,39,22,24.49902092052898,False
0,blueviolet,8,40,37,27,24.05958012064707,False
0,blueviolet,8,60,7,5,0.2573339753448276,False
0,blueviolet,8,67,0,0,0,True
1,purple,9,20,1634,81,130.85679167415364,False
1,purple,9,40,1835,81,307.24634368638,False
1,purple,9,60,670,80,350.4675364888705,False
1,purple,9,80,383,42,345.03788290102085,False
1,purple,9,100,96,38,310.4340369883034,False
1,purple,9,120,27,21,56.70119867088782,False
1,purple,9,140,24,15,63.7430556449086,False
1,purple,9,160,16,16,84.19069512506911,False
1,purple,9,180,0,0,0,True
2,darkred,0,20,112,52,36.99099692861397,False
2,darkred,0,29,0,0,0,True
3,purple,9,20,375,83,87.26778124768697,False
3,purple,9,40,60,41,84.94710913189239,False
3,purple,9,60,34,16,129.0515069272436,False
3,purple,9,80,33,20,140.53855161627038,False
3,purple,9,100,4,4,76.18038988071237,False
3,purple,9,120,69,37,155.5116379815438,False
3,purple,9,140,25,22,222.19055103136918,False
3,purple,9,160,16,14,112.00195854033599,False
3,purple,9,180,25,15,4.421345303924041,False
3,purple,9,200,7,6,12.917695704467354,False
3,purple,9,220,31,12,24.92594306644017,False
3,purple,9,227,0,0,0,True
4,purple,10,20,1359,99,82.34238037350954,False
4,purple,10,40,1772,90,118.702273934857,False
4,purple,10,60,179,77,149.42504837584684,False
4,purple,10,80,31,17,33.718988204326195,False
4,purple,10,100,38,21,70.78342423560366,False
4,purple,10,120,30,17,76.76482548131578,False
4,purple,10,140,127,35,146.87832560148897,False
4,purple,10,160,39,20,23.48020885579537,False
4,purple,10,180,94,36,57.88205643414971,False
4,purple,10,200,68,28,98.51256141354202,False
4,purple,10,220,3,3,5.867164506237616,False
4,purple,10,240,141,48,56.468462210856444,False
4,purple,10,260,12,11,34.48885550156753,False
4,purple,10,280,7,6,11.708423890181033,False
4,purple,10,300,191,36,34.33524885704776,False
4,purple,10,320,44,33,59.08932194406331,False
4,purple,10,336,0,0,0,True
5,darkred,1,20,1104,69,136.40243597041248,False
5,darkred,1,40,302,55,125.77104287859545,False
5,darkred,1,60,448,40,189.77098672411248,False
5,darkred,1,80,57,15,120.96872371923462,False
5,darkred,1,100,12,10,142.24670034239887,False
5,darkred,1,120,7,5,119.35198466604386,False
5,darkred,1,140,2,2,0.0,False
5,darkred,1,160,1,1,0.0,False
5,darkred,1,180,6,5,4.577398867011515,False
5,darkred,1,200,13,5,10.565778339132612,False
5,darkred,1,216,0,0,0,True
6,purple,10,20,120,58,68.91380901467912,False
6,purple,10,40,349,47,106.37713413847038,False
6,purple,10,60,277,40,152.8923697464922,False
6,purple,10,80,227,55,313.8458377604636,False
6,purple,10,100,2183,80,441.9681510393631,False
6,purple,10,120,81,55,402.68650327996795,False
6,purple,10,140,23,18,394.55307180559663,False
6,purple,10,160,50,27,114.82388099577376,False
6,purple,10,180,29,12,65.16785753552799,False
6,purple,10,200,40,25,84.74705882992808,False
6,purple,10,220,20,12,8.937904289236634,False
6,purple,10,240,102,26,44.10373869862889,False
6,purple,10,260,500,40,63.60032686915107,False
6,purple,10,280,39,28,135.48312157099798,False
6,purple,10,300,47,31,16.45532812053242,False
6,purple,10,320,17,5,7.762261370095881,False
6,purple,10,340,32,27,28.095384347465114,False
6,purple,10,360,48,26,59.058250082402054,False
6,purple,10,380,211,48,178.66220004907132,False
6,purple,10,400,486,68,288.3906501963488,False
6,purple,10,420,182,49,352.68470719433776,False
6,purple,10,440,92,34,322.08149983417263,False
6,purple,10,460,227,30,250.1295799912957,False
6,purple,10,480,209,35,349.5202615409119,False
6,purple,10,500,34,31,128.93863283233517,False
6,purple,10,520,2,2,2.1255042257251087,False
6,purple,10,521,0,0,0,True
7,darkred,0,20,3729,100,189.30098126064885,False
7,darkred,0,40,2898,97,140.567075859513,False
7,darkred,0,60,633,89,177.56406228367413,False
